date,content,username,like_count,retweet_count
2023-02-24 16:36:41+00:00,"🏁 DAY 2 CLASSIFICATION 🏁

Big lap numbers on the board for Logan Sargeant, Fernando Alonso and Zhou Guanyu! 💪

#F1 #F1Testing https://t.co/nYN7Y6NGmq",F1,7574,739
2023-02-24 16:34:19+00:00,"🏁 DAY 2 TESTING 🏁

Zhou Guanyu puts his @alfaromeof1 on top for Day 2 of testing 💪

#F1 #F1Testing https://t.co/RFteYSJjLg",F1,2420,208
2023-02-24 16:19:30+00:00,"Strange happenings at Alfa Romeo and Williams as we near the ending of Day 2 of testing 🤔👀

#F1 #F1Testing https://t.co/ypEVJ9J3rT",F1,3125,173
2023-02-24 16:11:01+00:00,"A hydraulic failure classed as the gremlin behind George Russell's earlier stoppage 😫

#F1 #F1Testing 

https://t.co/CyNf7qW9ke",F1,1842,145
2023-02-24 16:02:22+00:00,"Honorary Aussie spotted 👀 

With that mullet, it can only be @ValtteriBottas 😆

#F1 #F1Testing https://t.co/efuje361NC",F1,4923,205
2023-02-24 15:51:38+00:00,"All of the lights 🎶🎆

We'll never tire of this view 😍

#F1 #F1Testing https://t.co/gTx7lgglCc",F1,3663,330
2023-02-24 15:33:44+00:00,"Just Max Verstappen sending it past Hulk 🚀

Dusting off those cobwebs prior to the Bahrain Grand Prix! 🕸️

#F1 #F1Testing https://t.co/dx8sWeTIdX",F1,2232,114
2023-02-24 15:30:00+00:00,"Happy Drive To Survive Season 5 release day on @netflix!!! 🤩

Kick off your watch party with our #F1Tracks playlist featuring the likes of @RAYE @Biffyclyro @SigmaHQ @youmeatsix &amp; more! 💃🕺

Listen NOW on @Spotify 👉 https://t.co/uZnnBPLXfI

#F1",F1,1455,142
2023-02-24 15:15:57+00:00,"🟢 GREEN LIGHT 🟢

The afternoon session resumes following George Russell's stoppage

Time to get some more laps on the board! 💪

#F1 #F1Testing https://t.co/GmtnQeOF0O",F1,2308,116
2023-02-24 14:56:58+00:00,"🚩 RED FLAG 🚩

The Mercedes of George Russell has stopped out on track 

#F1 #F1Testing https://t.co/55CrOcGtm8",F1,24295,847
2023-02-24 14:46:09+00:00,"Sunset hour in Bahrain 😍

#F1 #F1Testing @McLarenF1 https://t.co/wy1j3Wb5XA",F1,3633,256
2023-02-24 14:30:00+00:00,"Light's out and *kinda* it's away we go 😆

#F1 #F1Testing https://t.co/eAP278XYoj",F1,6077,448
2023-02-24 14:26:49+00:00,"Checo's come for a closer look of the 2023 competition 👀

#F1 #F1Testing https://t.co/ldeW1Cxtto",F1,4496,185
2023-02-24 14:25:21+00:00,"Checo and George having a catch-up! 💬

What do you think they are talking about? 😅

#F1 #F1Testing https://t.co/hRvHMO8aN4",F1,9817,304
2023-02-24 14:00:51+00:00,"Oscar Piastri, calm and quietly confident ahead of his rookie season race debut 👊

#F1 #F1Testing 

https://t.co/xfvp8bSC1u",F1,1350,111
2023-02-24 13:11:05+00:00,"Our fastest driver on the track so far, Max Verstappen 💪

The reigning champion and his team @redbullracing are looking very confident 👊

#F1 #F1Testing https://t.co/IMW34ObDpI",F1,7599,392
2023-02-24 12:17:58+00:00,"The Day 2 afternoon session of the Pre-Season Test is under way! 🟢

Out Zhou heads for his final runs in the @alfaromeof1 car 👊

#F1 #F1Testing https://t.co/IAmbmqkz4F",F1,1757,112
2023-02-24 12:15:12+00:00,"Now streaming, only on @netflix 🍿

Drive to Survive, season 5 is here! 🤩

#F1 #DriveToSurvive5 https://t.co/09dpOVwmkH",F1,18891,1543
2023-02-24 11:47:00+00:00,"He might be number 44, but Lewis left some thiccccck number 11s on the track 🥵

#F1 #F1Testing https://t.co/GHSJSjoSpe",F1,11163,535
2023-02-24 11:36:00+00:00,"We're officially half-way through #F1Testing 🙌

Here's our running order from our early session on Day 2 👇

#F1 https://t.co/DhkD8TyC4R",F1,3345,291
2023-02-24 11:27:00+00:00,"Carlos is in charge on Friday morning 🌶

#F1 #F1Testing 

https://t.co/i6xQap6wTz",F1,1719,124
2023-02-24 11:23:59+00:00,"Soon.

⚫️⚫️⚫️⚫️⚫️
⚫️⚫️⚫️⚫️⚫️

#F1 #F1Testing https://t.co/qdZRlazEJQ",F1,3956,237
2023-02-24 10:59:10+00:00,"#2 is currently #2, and fastest overall in sector #2 🔥

A productive morning for @LoganSargeant means he's just 0.063s behind pace-setter Sainz

#F1 #F1Testing https://t.co/WVI4K1FdoJ",F1,2613,119
2023-02-24 10:43:03+00:00,"Just half an hour left on the clock on Friday morning ⏰

#F1 #F1Testing https://t.co/b3zSZaTTDb",F1,2664,173
2023-02-24 09:54:51+00:00,"Black and yellow under the Bahrain sun 🖤💛

#F1 #F1Testing @LewisHamilton https://t.co/Jj3WJULblt",F1,7819,342
2023-02-24 09:43:04+00:00,"It *almost* feels like racing 🥰

#F1 #F1Testing https://t.co/mvoigqFbRx",F1,4717,236
2023-02-24 08:34:01+00:00,"Carlos Sainz fires in a 1:32.486 to go P1 💪

#F1 #F1Testing https://t.co/cQqGWPwrV1",F1,7861,373
2023-02-24 07:55:20+00:00,"Can't get enough of #F1Testing? 🤩

We've got you covered. Follow along here! 👇

#F1 

https://t.co/QPIWrAXv2w",F1,1317,69
2023-02-24 07:47:44+00:00,"⚠️ Fluoro-Checo deployed ⚠️

After a full day for Max on Thursday, @SChecoPerez is in the hot seat on Friday morning for @redbullracing 

#F1 #F1Testing https://t.co/p17g30VJko",F1,8061,268
